"Date","Time","Type","Media_URLs","Caption","First_Comment"
"2026-06-22","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-18_tag11/_export/post-tag11-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-18_tag11/_export/post-tag11-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-18_tag11/_export/post-tag11-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-18_tag11/_export/post-tag11-carousel-slide04.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-18_tag11/_export/post-tag11-carousel-slide05.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-18_tag11/_export/post-tag11-carousel-slide06.png","Ich sage dir was viele Webdesigner nicht sagen wollen: Wix reicht manchmal.

Aber ""manchmal"" ist kürzer als die meisten denken. Sobald du wirklich Kunden über deine Website gewinnen willst — nicht nur einen Link haben —, braucht es mehr.

Die monatlichen Kosten eines Baukastens überholen eine Custom-Website schneller als du denkst. Und du baust kein eigenes Asset auf.

Was hast du gerade — und was brauchst du wirklich?

Kommentier WEBCHECK — ich schau mir deine Website an und sage dir ehrlich, was sie Kunden kostet.

#webdesign #websiteSchweiz #kmuschweiz #wix #jimdo #customwebsite #onlinemarketing #solothurn #balsthal #kleinunternehmen #selbstständig #seo #websitetipp #unternehmerSchweiz #digitalmarketing","Kommentier WEBCHECK hier unten — ich schau mir deine Website an und sag dir ehrlich was für dich Sinn macht. Auch wenn es Baukasten ist."
"2026-06-23","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-19_tag12/_export/post-tag12-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-19_tag12/_export/post-tag12-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-19_tag12/_export/post-tag12-carousel-slide03.png","Grauer Text auf weissem Hintergrund. Schaut elegant aus — liest sich schlecht. Kostet Kunden.

Das ist der häufigste stille Fehler auf KMU-Websites. Nicht auffällig. Nicht dramatisch. Aber dein Besucher bricht ab, ohne zu wissen warum.

Die gute Nachricht: du kannst es in 5 Minuten prüfen — kostenlos, ohne Designer.

Hält deine Website dem Test stand?

Kommentier TIPP und ich schicke dir die Kurz-Anleitung + das gratis Kontrast-Tool als Link.

#webdesign #kontrast #designtipp #kmuschweiz #websitetipp #uxdesign #solothurn #balsthal #barrierefreiheit #onlinemarketing #selbstständig #kleinunternehmen #grafikdesign #brandingschweiz #swissdesign","Kommentier TIPP — ich schick dir die Kontrast-Anleitung + das gratis Tool als Link direkt in deine DMs."
"2026-06-24","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-20_tag13/_export/post-tag13-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-20_tag13/_export/post-tag13-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-20_tag13/_export/post-tag13-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-20_tag13/_export/post-tag13-carousel-slide04.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-20_tag13/_export/post-tag13-carousel-slide05.png","""Ich frag mal eine Agentur…"" — und dann schaust du auf ein Angebot von CHF 4'800 und denkst: das ist doch nicht für mich.

Ich verstehe das. Deshalb zeige ich dir hier genau, was eine Website 2026 kostet — bei mir, und auf dem Markt.

Kein Verstecktes. Kein Monats-Abo das niemals endet. Eine Website, die dir gehört.

CHF 500. Das ist der Einstieg. Nicht für eine Template-Seite — für etwas, das für dich gebaut ist.

Kommentier PREISE und ich schick dir mein komplettes Paket-PDF (kein Verkaufsgespräch).

#websitepreise #webdesignkosten #kmuschweiz #websiteSchweiz #preise2026 #kleinunternehmen #solothurn #balsthal #selbstständig #onlinemarketing #webdesign #branding #transparenz #unternehmerSchweiz #swissbusiness","Kommentier PREISE hier unten — ich schick dir mein komplettes Paket-PDF. Kein Verkaufsgespräch, kein Druck."
"2026-06-25","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-21_tag14/_export/post-tag14-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-21_tag14/_export/post-tag14-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-21_tag14/_export/post-tag14-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-21_tag14/_export/post-tag14-carousel-slide04.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-21_tag14/_export/post-tag14-carousel-slide05.png","Ein Restaurant in der Region Solothurn — gutes Essen, echte Leidenschaft. Aber nach aussen wirkte es wie ein schneller Mittagstisch.

Das Problem war nicht das Essen. Es war der erste Eindruck.

Wir haben Logo, Website und Speisekarte neu gedacht — nicht teurer, nicht komplizierter. Einfach klarer.

Logo, Farben, Typografie: ein System statt drei verschiedene Rottöne. Mobile-First Website mit prominentem Reservierungslink. Speisekarte mit klarer Hierarchie.

Was wäre dein Vorher/Nachher?

Kommentier VORHER und ich zeig dir das ganze Projekt + wie wir's gemacht haben.

#restaurantbranding #vorhernachher #brandingschweiz #kmuschweiz #logodesign #solothurn #balsthal #gastronomie #rebranding #webdesign #kleinunternehmen #selbstständig #markenidentität #swissdesign","Kommentier VORHER hier unten — ich zeig dir das ganze Projekt im Detail direkt in den DMs."
"2026-06-26","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-22_tag15/_export/post-tag15-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-22_tag15/_export/post-tag15-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-22_tag15/_export/post-tag15-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-22_tag15/_export/post-tag15-carousel-slide04.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-22_tag15/_export/post-tag15-carousel-slide05.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-22_tag15/_export/post-tag15-carousel-slide06.png","Die meisten denken: du machst kurz ein Logo und fertig.

Die Realität: die erste Frage die ich stelle ist nicht ""welche Farbe magst du?"" — sie ist ""was soll jemand fühlen, wenn er dein Logo zum ersten Mal sieht?""

Angst? Vertrauen? Luxus? Wärme? Diese Antwort bestimmt alles andere.

So entsteht bei mir ein Brand — in 10 Tagen, mit System, ohne Drama.

Kommentier INFO und ich melde mich mit allen Details.

#hinterdenkulissen #branddesign #logoentwicklung #brandingprozess #kmuschweiz #designSchweiz #solothurn #balsthal #selbstständig #markenidentität #grafikdesign #kleinunternehmen #brandstrategy #unternehmerSchweiz #swissdesign","Kommentier INFO hier unten — ich melde mich mit allen Details zum Prozess. Unverbindlich."
"2026-06-27","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-23_tag16/_export/post-tag16-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-23_tag16/_export/post-tag16-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-23_tag16/_export/post-tag16-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-23_tag16/_export/post-tag16-carousel-slide04.png","Comic Sans auf einem Flyer. Papyrus auf einer Website. Impact in Grossbuchstaben auf einem Instagram-Post.

Ich sag's direkt: diese Schriften kosten dich Glaubwürdigkeit — in Sekunden, ohne dass jemand weiß warum.

Die gute Nachricht: es gibt hervorragende kostenlose Alternativen. Google Fonts. Kein Budget nötig.

Welche Schrift verwendest du gerade?

Kommentier TIPP und ich schicke dir die Font-Paare-Anleitung als Bild zum Speichern.

#typografie #schriften #fontpairing #designtipp #kmuschweiz #grafikdesign #solothurn #balsthal #logodesign #branding #selbstständig #webdesign #kleinunternehmen #googlefonts #swissdesign","Kommentier TIPP — ich schick dir die Font-Paare-Anleitung als Bild. Kostenlose Alternativen inklusive."
"2026-06-28","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-24_tag17/_export/post-tag17-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-24_tag17/_export/post-tag17-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-24_tag17/_export/post-tag17-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-24_tag17/_export/post-tag17-carousel-slide04.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-24_tag17/_export/post-tag17-carousel-slide05.png","Jemand sieht deinen Post in der Explore-Page — gefällt ihm. Er klickt auf dein Profil.

Er hat jetzt 2 Sekunden. Profilbild. Bio. Erster Blick auf den Feed.

Wenn das nicht stimmt, geht er weg. Für immer. Ohne Kommentar.

Das ist kein Fehler den man sieht. Aber er kostet dich täglich.

Diese 3 Fixes kosten nichts ausser 20 Minuten.

Kommentier CHECK und ich schicke dir die 3 Dinge, die deine Marke gerade billig aussehen lassen.

#instagramprofil #instagramtipps #brandingschweiz #kmuschweiz #socialmedia #solothurn #balsthal #kleinunternehmen #selbstständig #instagrammarketing #profileoptimierung #onlinemarketing #logodesign #unternehmerSchweiz #swissbusiness","Kommentier CHECK hier unten — ich schau mir dein Profil an und sag dir ehrlich was nicht stimmt. Gratis."
"2026-06-29","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-25_tag18/_export/post-tag18-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-25_tag18/_export/post-tag18-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-25_tag18/_export/post-tag18-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-25_tag18/_export/post-tag18-carousel-slide04.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-25_tag18/_export/post-tag18-carousel-slide05.png","Öffne jetzt deine Website auf dem Handy.

Kannst du den Text ohne Zoomen lesen? Triffst du alle Buttons mit dem Daumen? Lädt sie in unter 3 Sekunden?

Wenn du zögerst — ist das deine Antwort.

70% deiner potenziellen Kunden sehen zuerst die Mobile-Version. Nicht den Desktop. Nicht die Desktopversion, die du liebevoll gestaltet hast.

Das Handy.

Kommentier WEBCHECK — ich schau mir deine Website an und sage dir ehrlich, was sie Kunden kostet.

#mobilefirst #webdesign #websiteoptimierung #kmuschweiz #solothurn #balsthal #uxdesign #ladezeit #googleranking #kleinunternehmen #selbstständig #onlinemarketing #websitetipp #unternehmerSchweiz #swissbusiness","Kommentier WEBCHECK — ich check deine Website auf Mobile und sag dir in 3 Punkten was sofort besser werden kann."
"2026-06-30","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-26_tag19/_export/post-tag19-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-26_tag19/_export/post-tag19-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-26_tag19/_export/post-tag19-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-26_tag19/_export/post-tag19-carousel-slide04.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-26_tag19/_export/post-tag19-carousel-slide05.png","""Zu teuer"" ist oft keine Aussage über den Preis.

Es ist eine Aussage darüber, dass jemand den Wert noch nicht sieht. Und das ist mein Job — nicht deiner.

Ich zeige dir heute wie ich über Preise denke: transparent, ohne Druck, ohne Tricks.

Und ich stelle dir eine Frage: Was kostet dich ein weiterer Monat ohne professionelles Erscheinungsbild — wirklich?

Kommentier PREISE und ich schick dir mein komplettes Paket-PDF. Kein Verkaufsgespräch.

#preistransparenz #kmuschweiz #brandingschweiz #webdesignkosten #selbstständig #solothurn #balsthal #kleinunternehmen #roi #investition #markenaufbau #unternehmerSchweiz #designwert #onlinemarketing #swissbusiness","Kommentier PREISE hier unten — ich schick dir das komplette Paket-PDF. Kein Druck, kein Gespräch wenn du nicht willst."
"2026-07-01","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-27_tag20/_export/post-tag20-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-27_tag20/_export/post-tag20-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-27_tag20/_export/post-tag20-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-27_tag20/_export/post-tag20-carousel-slide04.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-27_tag20/_export/post-tag20-carousel-slide05.png","""Meine Website bringt eh nichts."" — Das höre ich öfter.

Meistens liegt's nicht am Business. Es liegt daran, wie die Website gebaut ist: zu langsam, nicht Mobile-First, kein klares Kontaktformular, kein echter Foto-Einsatz, kein lokales SEO.

Eine Handwerker-Website die ich neu gebaut habe: Ladezeit von 7 auf 1,8 Sekunden. Kontaktformular prominent auf jeder Seite. Echte Fotos der Arbeit. Lokale SEO-Struktur für Google.

Das Handwerk war schon gut. Es hat nur niemand gefunden.

Was wäre dein Vorher/Nachher?

Kommentier VORHER und ich zeig dir das ganze Projekt + wie wir's gemacht haben.

#handwerker #websitehandwerker #kmuschweiz #vorhernachher #solothurn #balsthal #webdesign #seo #kleinunternehmen #selbstständig #kundengewinnung #onlinemarketing #swissbusiness","Kommentier VORHER — ich zeig dir das ganze Projekt im Detail. Welche Änderungen den grössten Unterschied machen."
"2026-07-02","19:00","carousel","https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-28_tag21/_export/post-tag21-carousel-slide01.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-28_tag21/_export/post-tag21-carousel-slide02.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-28_tag21/_export/post-tag21-carousel-slide03.png | https://raw.githubusercontent.com/embatah-svg/bstudio-content/main/instagram/2026-06-28_tag21/_export/post-tag21-carousel-slide04.png","Logo auf der Visitenkarte bis an den Rand. Logo auf der Website ohne Margin. Logo auf dem Briefkopf in der Ecke gequetscht.

Das sieht man überall. Und es macht sofort einen Unterschied — den die meisten nicht benennen können, aber alle fühlen.

Die 8px-Regel ist nicht kompliziert. Sie braucht nur jemand der dir sagt, dass sie existiert.

Jetzt weisst du es.

Kommentier TIPP und ich schicke dir die Kurz-Anleitung als Bild zum Speichern.

#logotipp #designregel #branding #kmuschweiz #logodesign #grafikdesign #solothurn #balsthal #visitenkarte #selbstständig #kleinunternehmen #designdetail #markenidentität #unternehmerSchweiz #swissdesign","Kommentier TIPP — ich schick dir die Schutzzone-Vorlage als Bild zum Speichern. Direkt in deine DMs."
